Smile,docking_score
C1CC(N(CCCNC(CSc2[nH0]c3N=C(C(Cc4c(Cl)cccc4)=C([nH0]3[nH0]2)C)C)=O)CC1)CC,-14.41
N1(C(=O)Cc2cc(F)ccc2)CCC2(OCCC(C2)Cc2ccc(cc2)OC)CC1,-14.172
c1ccc(CNS(=O)=Oc2cc3OCC(Nc3cc2)=O)cc1,-11.069
C1CC2=C(C(C(N3CCN(CC)CC3)c3cc[nH0]cc3)=C(NC(C3OC=CC=3)=O)S2)CC1,-14.049
C1CCC(N2C(C(SC2=S)=CC(=Cc2ccccc2)C)=O)CC1,-11.422
c12n(nc(n2)c2occc2)c(C)nc2c1c1c(CCCC1)s2,-14.093
c1(c(NC(c2cc(OC)c(c(c2)OC)OC)=O)cccc1Cl)N1CCN(CC1)C(=O)OCC,-12.965
CCN(CCCNC(c1ccc2NC(C[S+2](Cc3cc(Br)ccc3)(=O)=O)C(Nc2c1)=O)=O)CC,-10.96
c1ccc(c2[nH0](c3[nH0](c4c([nH0](c([nH0](c4[nH0]3)C)=O)C)=O)c2)c2cc(c(cc2)OC)OC)cc1,-15.581
c1ccc([nH0]2c(NC(c3ccc(cc3)C)=O)c(C(Nc3cc(ccc3)Cl)=O)c[nH0]2)cc1,-10.415
c1ccc(c2ccc(C3N(CC(C)C)C(=Nc4cc(C(F)(F)F)ccc4)SC=3)cc2)cc1,-9.446
CCNC(CC1N(C(N(c2ccc(cc2)C)C1=O)=O)CC1SC=CC=1)=O,-15.487
c1ccc(CCCNC(C[nH0]2c3c([nH0](Cc4ccccc4)c(=O)c2=O)[nH0]ccc3)=O)cc1,-9.744
C1CCC(CCC(NC2(C(F)(F)F)C(N(C(=C2C(=O)c2ccccc2)C)Cc2ccccc2)=O)=O)CC1,-14.019
C=1\2/C(n3c(N\C1\CC(CC2=O)(C)C)ncn3)c1c2c(ccc1)cccc2,-10.244
n1c(noc1[C@@H]1C[C@@H]2[C@@H](N(C(NCc3ccccc3)=O)CCCCCCNC2=O)C1)c1cnccc1,-11.749
COc1ccc(S(=O)=ONC(CC(NCC2OC=CC=2)=O)C(C)C)cc1,-15.005
[B-]1(NC(C(F)(F)F)=CC(=[O+]1)C)(c1ccccc1)c1ccccc1,-9.322
c1ccc(CN2C(C(=Cc3c(cc(cc3)N(CC)CC)O)SC2=S)=O)cc1,-10.907
c1ccc(SC2=CC=C(O2)C=NNC(=O)c2cc[nH0]cc2)cc1,-10.466
CC1=Cc2[nH0](O1)c(c(c([nH0]2)=O)=Cc1ccc(OCc2ccc(F)cc2)cc1)=N,-9.962
c1c(cc(NS(=O)=OC2C(C3ON=C(C=3)C)=C(C)SC=2C)cc1)Cl,-14.431
N1(CC(C(CC1C)(O)[H])C)C,-13.333
CCOC(c1ccc([nH0]2c(c3c(cccc(c3c2C)=O)OCC)C)cc1)=O,-10.661
Cc1c(c(N2c3[nH0]c4[nH0](c([nH0](CC=C)c(c4[nH0]3CCC2)=O)=O)C)ccc1)C,-9.264
COc1c(OC)c(OC)cc(c1)CNCc1ccc(Br)cc1,-9.903
S(c1cc(C(C)C)c(cc1C)OCC)(N1CCN(CC1)c1c(OC)cccc1)(=O)=O,-10.266
c1ccc(C2N=C(ON=2)CNC(c2c(C)cccc2)=O)cc1,-14.914
c1(nc(cs1)c1ccccc1)NC(=N)N,-10.98
C1CC2C(CC1)(C)C2C(NN=Cc1ccc(C#N)cc1)=O,-13.848
CC1CCN(S(=O)=Oc2cc3c(N(C(=O)C3(C)C)CC(Nc3cc4c(cc3)OCO4)=O)cc2)CC1,-14.204
c1(c(ncs1)C)CN1CCC2(OCCC(C2)Cc2ccc(F)cc2)CC1,-10.926
N1(C(Cc2cc(Cl)ccc2)=O)CCC2(CC(CCO2)(O)CC)CC1,-9.911
CCOc1ccc(C2=CC(C(Oc3cc(C)ccc3)=O)=NO2)cc1,-10.21
CCCC1Sc2[nH0]c(cc([nH0]2N=1)=O)N1CCN(c2c([N+]([O-])=O)cc(C(F)(F)F)cc2)CC1,-10.463
S(c1c(onc1C)C)(N1C[C@H]2[C@](c3nc(n[nH]3)C)(CN(C(C3CC3)=O)C2)CC1)(=O)=O,-15.544
COc1ccc([S+2](C2=C(SC(C(c3ccc(F)cc3)=O)=C2N)Nc2cc(Cl)ccc2)([O-])[O-])cc1,-14.996
CNC(C1CCC(C[nH0]2c(c3c([nH0](c2=O)CC(NCc2ccc(F)cc2)=O)C=CS3)=O)CC1)=O,-12.718
N1(C(CC2CCCC2)=O)CCC2(CC(N3CCN(CC3)c3ccccc3)CCO2)CC1,-12.953
S(c1cc(C(N2CCC(CC2)C)=O)cs1)(N1CCN(CC1)CC)(=O)=O,-12.288
c12c(sc(c1c1cc(F)ccc1)C(=O)O)C(c1cc(c(OCC(C)C)cc1)OC)CC(N2)=O,-13.85
c1cc2c(C3=C(C=C(S3)C(NCc3ccc(Cl)cc3)=O)CO2)cc1,-14.178
c1(ncccn1)SCC(Nc1ccc(C#N)cc1)=O,-13.576
COc1cc([nH0]2[nH0][nH0]c(c2C)C2N=C(SN=2)NC(c2ccc(cc2)C)=O)ccc1,-13.206
c1(c(c(nc(n1)C)C)Cc1c(F)cccc1)N1CCN(C(=O)C2CCC2)CC1,-12.314
N1(C(C2(C1)CCCCC2)c1ccncc1)C1CCN(C(NCc2ccccc2)=O)CC1,-9.824
C/1(\c2n(Cc3c(F)cccc3)ccc2)=N/C(CO1)CCSC,-13.093
C1Cc2[nH0]c3c(c(c2CC1)Cl)ccc(C(Nc1ccc(C(=O)OCCN(CC)CC)cc1)=O)c3,-12.921
